method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
fdnc,fDNC,1,func_20150410,42,7,func_20150410__gap60m__p007,222,0.7297297297297297,1.0,0.8533783783783785,0.9279279279279279,1.0
fdnc,fDNC,1,func_20150410,42,8,func_20150410__gap60m__p008,224,0.5223214285714286,1.0,0.730729166666667,0.7723214285714286,1.0
fdnc,fDNC,1,func_20150410,42,9,func_20150410__gap60m__p009,230,0.7434782608695653,1.0,0.8586956521739132,0.9130434782608695,1.0
fdnc,fDNC,1,func_20150410,42,10,func_20150410__gap60m__p010,230,0.6043478260869565,0.9956521739130435,0.7552898550724639,0.7347826086956522,1.0
fdnc,fDNC,1,func_20150410,42,11,func_20150410__gap60m__p011,232,0.28879310344827586,0.9655172413793104,0.5455562397372741,0.521551724137931,1.0
fdnc,fDNC,1,func_20150410,42,12,func_20150410__gap60m__p012,232,0.375,0.9655172413793104,0.5975985221674875,0.5172413793103449,1.0
fdnc,fDNC,1,func_20150410,42,13,func_20150410__gap60m__p013,236,0.3093220338983051,0.9745762711864406,0.5675141242937851,0.5,1.0
fdnc,fDNC,1,func_20150410,42,14,func_20150410__gap60m__p014,240,0.5458333333333333,1.0,0.7450694444444448,0.9125,1.0
fdnc,fDNC,1,func_20150410,42,15,func_20150410__gap60m__p015,244,0.8237704918032787,1.0,0.9038251366120221,1.0,1.0
fdnc,fDNC,2,func_20150417,42,0,func_20150417__gap60m__p000,212,0.7452830188679245,1.0,0.8616352201257863,0.9386792452830188,1.0
fdnc,fDNC,2,func_20150417,42,1,func_20150417__gap60m__p001,214,0.8317757009345794,1.0,0.9104361370716512,0.9906542056074766,1.0
fdnc,fDNC,2,func_20150417,42,2,func_20150417__gap60m__p002,216,0.8333333333333334,1.0,0.9104938271604939,0.9814814814814815,1.0
fdnc,fDNC,2,func_20150417,42,3,func_20150417__gap60m__p003,216,0.8611111111111112,1.0,0.9266975308641975,0.9814814814814815,1.0
fdnc,fDNC,2,func_20150417,42,4,func_20150417__gap60m__p004,216,0.8425925925925926,1.0,0.9189814814814816,1.0,1.0
fdnc,fDNC,2,func_20150417,42,5,func_20150417__gap60m__p005,216,0.8101851851851852,1.0,0.8996913580246914,0.9953703703703703,1.0
fdnc,fDNC,2,func_20150417,42,6,func_20150417__gap60m__p006,216,0.7731481481481481,1.0,0.8796296296296298,1.0,1.0
fdnc,fDNC,2,func_20150417,42,7,func_20150417__gap60m__p007,216,0.8611111111111112,1.0,0.925925925925926,0.9629629629629629,1.0
fdnc,fDNC,2,func_20150417,42,8,func_20150417__gap60m__p008,218,0.8577981651376146,1.0,0.9229357798165139,0.9908256880733946,1.0
fdnc,fDNC,2,func_20150417,42,9,func_20150417__gap60m__p009,220,0.9,1.0,0.9458333333333334,0.9818181818181818,1.0
fdnc,fDNC,2,func_20150417,42,10,func_20150417__gap60m__p010,220,0.8181818181818182,1.0,0.9045454545454545,0.9818181818181818,1.0
fdnc,fDNC,2,func_20150417,42,11,func_20150417__gap60m__p011,222,0.8513513513513513,1.0,0.9241741741741741,1.0,1.0
fdnc,fDNC,2,func_20150417,42,12,func_20150417__gap60m__p012,224,0.90625,1.0,0.953125,1.0,1.0
fdnc,fDNC,2,func_20150417,42,13,func_20150417__gap60m__p013,224,0.9285714285714286,1.0,0.9635416666666667,1.0,1.0
fdnc,fDNC,2,func_20150417,42,14,func_20150417__gap60m__p014,226,0.8849557522123894,1.0,0.9387905604719765,0.9778761061946902,1.0
fdnc,fDNC,2,func_20150417,42,15,func_20150417__gap60m__p015,226,0.9026548672566371,1.0,0.948377581120944,0.9778761061946902,1.0
fdnc,fDNC,2,func_20150417,42,16,func_20150417__gap60m__p016,226,0.8672566371681416,1.0,0.9306784660766962,0.9513274336283186,1.0
fdnc,fDNC,2,func_20150417,42,17,func_20150417__gap60m__p017,226,0.8053097345132744,1.0,0.8956489675516225,0.9247787610619469,1.0
fdnc,fDNC,3,func_20161004,42,0,func_20161004__gap60m__p000,128,0.953125,1.0,0.9765625,1.0,1.0
fdnc,fDNC,3,func_20161004,42,1,func_20161004__gap60m__p001,128,0.953125,1.0,0.9765625,1.0,1.0
fdnc,fDNC,3,func_20161004,42,2,func_20161004__gap60m__p002,128,0.9375,1.0,0.96875,1.0,1.0
fdnc,fDNC,3,func_20161004,42,3,func_20161004__gap60m__p003,128,0.9375,1.0,0.96875,1.0,1.0
fdnc,fDNC,3,func_20161004,42,4,func_20161004__gap60m__p004,128,0.9609375,1.0,0.98046875,1.0,1.0
fdnc,fDNC,3,func_20161004,42,5,func_20161004__gap60m__p005,128,0.9296875,1.0,0.96484375,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,0,islet_20170202__gap60m__p000,140,0.8428571428571429,1.0,0.919047619047619,0.9714285714285714,1.0
fdnc,fDNC,4,islet_20170202,42,1,islet_20170202__gap60m__p001,140,0.7785714285714286,1.0,0.8815476190476191,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,2,islet_20170202__gap60m__p002,140,0.7642857142857142,1.0,0.8708333333333331,1.0,1.0
fdnc,fDNC,4,islet_20170202,42,3,islet_20170202__gap60m__p003,140,0.7142857142857143,1.0,0.8452380952380951,0.9571428571428572,1.0
fdnc,fDNC,4,islet_20170202,42,4,islet_20170202__gap60m__p004,140,0.7785714285714286,1.0,0.8785714285714286,0.9428571428571428,1.0
fdnc,fDNC,4,islet_20170202,42,5,islet_20170202__gap60m__p005,140,0.7857142857142857,1.0,0.881547619047619,0.9571428571428572,1.0
