method,kind,severity,fold,perturbation_replicates,top1,top5,hungarian,coverage,effective_top1
CPD,outlier,0.5,3,3,0.3968253968253968,0.8809523809523809,0.4365079365079365,1.0,0.3968253968253968
CPD,outlier,0.5,4,3,0.2797619047619047,0.8869047619047619,0.3452380952380952,1.0,0.2797619047619047
fDNC,coord_noise,0.0,0,1,0.2857142857142857,0.9090909090909091,0.42857142857142855,1.0,0.2857142857142857
fDNC,coord_noise,0.0,1,1,0.40145985401459855,0.8102189781021898,0.3795620437956204,1.0,0.40145985401459855
fDNC,coord_noise,0.0,2,1,0.32413793103448274,0.7724137931034483,0.33793103448275863,1.0,0.32413793103448274
fDNC,coord_noise,0.0,3,1,0.5476190476190477,0.9761904761904762,0.6785714285714286,1.0,0.5476190476190477
fDNC,coord_noise,0.0,4,1,0.6964285714285714,0.9642857142857143,0.75,1.0,0.6964285714285714
fDNC,coord_noise,0.02,0,3,0.29437229437229434,0.9090909090909092,0.4025974025974026,1.0,0.29437229437229434
fDNC,coord_noise,0.02,1,3,0.38442822384428227,0.8053527980535279,0.3990267639902676,1.0,0.38442822384428227
fDNC,coord_noise,0.02,2,3,0.3149425287356322,0.7563218390804597,0.3494252873563218,1.0,0.3149425287356322
fDNC,coord_noise,0.02,3,3,0.5357142857142857,0.9880952380952381,0.6904761904761904,1.0,0.5357142857142857
fDNC,coord_noise,0.02,4,3,0.6666666666666666,0.9523809523809522,0.7023809523809524,1.0,0.6666666666666666
fDNC,coord_noise,0.05,0,3,0.31601731601731603,0.9047619047619048,0.393939393939394,1.0,0.31601731601731603
fDNC,coord_noise,0.05,1,3,0.36009732360097324,0.7834549878345499,0.3746958637469586,1.0,0.36009732360097324
fDNC,coord_noise,0.05,2,3,0.2942528735632184,0.7494252873563219,0.3195402298850574,1.0,0.2942528735632184
fDNC,coord_noise,0.05,3,3,0.5357142857142857,0.9642857142857143,0.6468253968253967,1.0,0.5357142857142857
fDNC,coord_noise,0.05,4,3,0.6011904761904762,0.9345238095238096,0.5892857142857143,1.0,0.6011904761904762
fDNC,coord_noise,0.1,0,3,0.29004329004329005,0.8831168831168831,0.3463203463203463,1.0,0.29004329004329005
fDNC,coord_noise,0.1,1,3,0.2773722627737226,0.7299270072992701,0.30413625304136255,1.0,0.2773722627737226
fDNC,coord_noise,0.1,2,3,0.22528735632183908,0.6551724137931034,0.23218390804597702,1.0,0.22528735632183908
fDNC,coord_noise,0.1,3,3,0.496031746031746,0.9642857142857143,0.5674603174603176,1.0,0.496031746031746
fDNC,coord_noise,0.1,4,3,0.5119047619047619,0.9285714285714285,0.5238095238095238,1.0,0.5119047619047619
fDNC,coord_noise,0.2,0,3,0.24242424242424243,0.8268398268398268,0.2727272727272727,1.0,0.24242424242424243
fDNC,coord_noise,0.2,1,3,0.1654501216545012,0.5644768856447689,0.1630170316301703,1.0,0.1654501216545012
fDNC,coord_noise,0.2,2,3,0.14022988505747128,0.4988505747126437,0.1563218390804598,1.0,0.14022988505747128
fDNC,coord_noise,0.2,3,3,0.32142857142857145,0.9404761904761904,0.38095238095238093,1.0,0.32142857142857145
fDNC,coord_noise,0.2,4,3,0.33928571428571425,0.9345238095238096,0.3511904761904762,1.0,0.33928571428571425
fDNC,missing,0.0,0,1,0.2857142857142857,0.9090909090909091,0.42857142857142855,1.0,0.2857142857142857
fDNC,missing,0.0,1,1,0.40145985401459855,0.8102189781021898,0.3795620437956204,1.0,0.40145985401459855
fDNC,missing,0.0,2,1,0.32413793103448274,0.7724137931034483,0.33793103448275863,1.0,0.32413793103448274
fDNC,missing,0.0,3,1,0.5476190476190477,0.9761904761904762,0.6785714285714286,1.0,0.5476190476190477
fDNC,missing,0.0,4,1,0.6964285714285714,0.9642857142857143,0.75,1.0,0.6964285714285714
fDNC,missing,0.1,0,3,0.2928424893880522,0.9198767217826181,0.40128383296936004,0.9177489177489178,0.26839826839826836
fDNC,missing,0.1,1,3,0.39835064698377987,0.8246765081100783,0.4124749407690906,0.8905109489051094,0.35523114355231145
fDNC,missing,0.1,2,3,0.3117549237643004,0.7632385646450682,0.30388090801626894,0.8850574712643677,0.27586206896551724
fDNC,missing,0.1,3,3,0.5494919577111358,0.9864848410053889,0.6395302151466535,0.8809523809523809,0.4841269841269842
fDNC,missing,0.1,4,3,0.6648069321982365,0.9492804297152123,0.6784635654200871,0.9107142857142856,0.6071428571428572
fDNC,missing,0.2,0,3,0.34303613911548125,0.9150676182853447,0.4027887790831892,0.8095238095238096,0.27705627705627706
fDNC,missing,0.2,1,3,0.446286897137252,0.8192333926819818,0.4650775447793796,0.7956204379562043,0.35523114355231145
fDNC,missing,0.2,2,3,0.3462662581059302,0.7592864596213089,0.3390006964398488,0.7977011494252874,0.2758620689655172
fDNC,missing,0.2,3,3,0.5892041152930997,0.9749463732064316,0.6543809485182782,0.7936507936507936,0.4682539682539682
fDNC,missing,0.2,4,3,0.6417508417508418,0.9624579124579125,0.6789562289562289,0.7976190476190478,0.5119047619047619
fDNC,missing,0.3,0,3,0.2937755815114306,0.9027403414195866,0.3040144254766896,0.70995670995671,0.20779220779220778
fDNC,missing,0.3,1,3,0.39457109084768655,0.8282822526173589,0.38814800742992234,0.7177615571776156,0.2822384428223844
fDNC,missing,0.3,2,3,0.2979027433856094,0.7396379725040161,0.31033495753121926,0.7333333333333334,0.21839080459770113
fDNC,missing,0.3,3,3,0.5599383667180277,0.9769902413970212,0.652799178222907,0.6865079365079364,0.3849206349206349
