dataset,fold,test_animal_id,duration_key,position,requested_duration_seconds,actual_start_seconds,actual_duration_seconds,raw_frames,window_frames,sampling_rate_hz
atanas,2,2023-01-23-08,240s,start,240,0.0,240.03935525938869,1600,399,1.6666142405786177
atanas,2,2023-01-23-08,240s,middle,240,361.5431702581118,240.05753768619616,1600,399,1.6666142405786177
atanas,2,2023-01-23-08,240s,end,240,723.1170233662706,239.4200176866143,1600,398,1.6666142405786177
atanas,2,2023-01-23-08,480s,start,480,0.0,480.0718918739585,1600,798,1.6666142405786177
atanas,2,2023-01-23-08,480s,middle,480,241.83941169595346,479.48096479685046,1600,797,1.6666142405786177
atanas,2,2023-01-23-08,480s,end,480,483.07198631193023,479.46505474095466,1600,797,1.6666142405786177
atanas,2,2023-01-23-08,900s,start,900,0.0,900.562367625942,1600,1497,1.6666142405786177
atanas,2,2023-01-23-08,900s,middle,900,31.285300526360516,900.5735043541645,1600,1497,1.6666142405786177
atanas,2,2023-01-23-08,900s,end,900,62.58378330600681,899.9532577468781,1600,1496,1.6666142405786177
atanas,2,2023-01-23-08,full,full,,0.0,962.5370410528849,1600,1600,1.6666142405786177
atanas,2,2023-01-23-21,15s,start,15,0.0,15.050472620001528,1600,25,1.66661419256032
atanas,2,2023-01-23-21,15s,middle,15,474.05579401750583,15.034562965389341,1600,25,1.66661419256032
atanas,2,2023-01-23-21,15s,end,15,948.0888598865713,14.441362673824187,1600,24,1.66661419256032
atanas,2,2023-01-23-21,30s,start,30,0.0,30.08844477403909,1600,50,1.66661419256032
atanas,2,2023-01-23-21,30s,middle,30,466.8396583345602,29.46228863671422,1600,49,1.66661419256032
atanas,2,2023-01-23-21,30s,end,30,933.0542973203701,29.47592524002539,1600,49,1.66661419256032
atanas,2,2023-01-23-21,60s,start,60,0.0,60.17688933631871,1600,100,1.66661419256032
atanas,2,2023-01-23-21,60s,middle,60,451.7891857410432,59.57687068771338,1600,99,1.66661419256032
atanas,2,2023-01-23-21,60s,end,60,902.9783525150851,59.55187004531035,1600,99,1.66661419256032
atanas,2,2023-01-23-21,120s,start,120,0.0,120.32877845363691,1600,200,1.66661419256032
atanas,2,2023-01-23-21,120s,middle,120,421.71324171416927,119.73103188624373,1600,199,1.66661419256032
atanas,2,2023-01-23-21,120s,end,120,842.8310094668996,119.69921309349593,1600,199,1.66661419256032
atanas,2,2023-01-23-21,240s,start,240,0.0,240.05299212544924,1600,399,1.66661419256032
atanas,2,2023-01-23-21,240s,middle,240,361.5613524810178,240.02571857895236,1600,399,1.66661419256032
atanas,2,2023-01-23-21,240s,end,240,723.0977046578191,239.43251790257636,1600,398,1.66661419256032
atanas,2,2023-01-23-21,480s,start,480,0.0,480.06507365964353,1600,798,1.66661419256032
atanas,2,2023-01-23-21,480s,middle,480,241.832593383966,479.462781889888,1600,797,1.66661419256032
atanas,2,2023-01-23-21,480s,end,480,483.06516773533076,479.4650548250647,1600,797,1.66661419256032
atanas,2,2023-01-23-21,900s,start,900,0.0,900.5782773196115,1600,1497,1.66661419256032
atanas,2,2023-01-23-21,900s,middle,900,31.30098267568974,900.5307759375428,1600,1497,1.66661419256032
atanas,2,2023-01-23-21,900s,end,900,62.597420018166304,899.9328025422292,1600,1496,1.66661419256032
atanas,2,2023-01-23-21,full,full,,0.0,962.5302225603955,1600,1600,1.66661419256032
atanas,2,2022-06-28-07,15s,start,15,0.0,15.002743698307313,1600,25,1.6666142035544083
atanas,2,2022-06-28-07,15s,middle,15,474.0148833701387,15.048199926852249,1600,25,1.6666142035544083
atanas,2,2022-06-28-07,15s,end,15,948.0547679264564,14.427725832210854,1600,24,1.6666142035544083
atanas,2,2022-06-28-07,30s,start,30,0.0,30.075944269890897,1600,50,1.6666142035544083
atanas,2,2022-06-28-07,30s,middle,30,466.81693006993737,29.47592555056326,1600,49,1.6666142035544083
atanas,2,2022-06-28-07,30s,end,30,933.0313795587281,29.451114199939184,1600,49,1.6666142035544083
atanas,2,2022-06-28-07,60s,start,60,0.0,60.149615872767754,1600,100,1.6666142035544083
atanas,2,2022-06-28-07,60s,middle,60,451.7662682554219,59.545240930863656,1600,99,1.6666142035544083
atanas,2,2022-06-28-07,60s,end,60,902.9533517914824,59.52914196718484,1600,99,1.6666142035544083
atanas,2,2022-06-28-07,120s,start,120,0.0,120.30377746769227,1600,200,1.6666142035544083
atanas,2,2022-06-28-07,120s,middle,120,421.71324141090736,119.67875777056906,1600,199,1.6666142035544083
atanas,2,2022-06-28-07,120s,end,120,842.7878260655561,119.69466769311111,1600,199,1.6666142035544083
atanas,2,2022-06-28-07,240s,start,240,0.0,240.01435448229313,1600,399,1.6666142035544083
atanas,2,2022-06-28-07,240s,middle,240,361.55453399789985,239.9943538797088,1600,399,1.6666142035544083
atanas,2,2022-06-28-07,240s,end,240,723.0727037774632,239.40978998120409,1600,398,1.6666142035544083
atanas,2,2022-06-28-07,480s,start,480,0.0,480.05825502914377,1600,798,1.6666142035544083
atanas,2,2022-06-28-07,480s,middle,480,241.8100926168263,479.4725549656432,1600,797,1.6666142035544083
atanas,2,2022-06-28-07,480s,end,480,483.05153085605707,479.4309629026102,1600,797,1.6666142035544083
atanas,2,2022-06-28-07,900s,start,900,0.0,900.5282757178647,1600,1497,1.6666142035544083
atanas,2,2022-06-28-07,900s,middle,900,31.25348133756779,900.5557764545083,1600,1497,1.6666142035544083
atanas,2,2022-06-28-07,900s,end,900,62.55196397542022,899.930529783247,1600,1496,1.6666142035544083
atanas,2,2022-06-28-07,full,full,,0.0,962.4824937586673,1600,1600,1.6666142035544083
