setting,severity,fold,perturbation_replicates,known_top1_real,reject_aware_top1,known_false_reject_rate,unknown_recall,unknown_precision
no_dustbin_confidence,0.2,4,3,0.5975056689342404,0.5929705215419502,0.030612244897959186,0.4118773946360153,0.940752957233849
no_dustbin_confidence,0.3,0,3,0.43209876543209874,0.42962962962962964,0.07777777777777778,0.6106194690265486,0.9426386038034482
no_dustbin_confidence,0.3,1,3,0.6185682326621924,0.6118568232662193,0.07941834451901565,0.7102473498233216,0.9443732869959348
no_dustbin_confidence,0.3,2,3,0.5228539576365664,0.5206243032329989,0.0189520624303233,0.4776902887139108,0.977101748901818
no_dustbin_confidence,0.3,3,3,0.5664414414414415,0.563063063063063,0.03265765765765766,0.5393258426966292,0.9675919605612439
no_dustbin_confidence,0.3,4,3,0.582766439909297,0.5782312925170068,0.032879818594104306,0.4252873563218391,0.9583466837294186
no_dustbin_confidence,0.4,0,3,0.43950617283950616,0.4382716049382716,0.08765432098765431,0.6025641025641025,0.9504843576018048
no_dustbin_confidence,0.4,1,3,0.5939597315436241,0.5850111856823267,0.08389261744966443,0.7079490557751428,0.95554236977993
no_dustbin_confidence,0.4,2,3,0.5362318840579711,0.5351170568561873,0.0189520624303233,0.4936274509803922,0.9834275584225755
no_dustbin_confidence,0.4,3,3,0.561936936936937,0.5596846846846848,0.034909909909909914,0.5539906103286385,0.9743890144576293
no_dustbin_confidence,0.4,4,3,0.564625850340136,0.5623582766439909,0.030612244897959186,0.4579751671442216,0.9726259610041463
no_dustbin_confidence,0.5,0,3,0.4197530864197531,0.4185185185185185,0.0925925925925926,0.5859872611464968,0.9566309619223379
no_dustbin_confidence,0.5,1,3,0.5727069351230425,0.5659955257270693,0.0749440715883669,0.6987315010570825,0.967337555099174
no_dustbin_confidence,0.5,2,3,0.5217391304347826,0.5183946488294314,0.020066889632107024,0.4867601246105919,0.9858154968867071
no_dustbin_confidence,0.5,3,3,0.543918918918919,0.5416666666666666,0.024774774774774775,0.5461711711711712,0.9851021631704397
no_dustbin_confidence,0.5,4,3,0.5385487528344671,0.5362811791383221,0.03061224489795918,0.45971744940817105,0.9781531064144294
no_dustbin_forced,0.0,0,1,0.4888888888888889,0.4888888888888889,0.0,,
no_dustbin_forced,0.0,1,1,0.6543624161073825,0.6543624161073825,0.0,,
no_dustbin_forced,0.0,2,1,0.5785953177257525,0.5785953177257525,0.0,,
no_dustbin_forced,0.0,3,1,0.6148648648648649,0.6148648648648649,0.0,,
no_dustbin_forced,0.0,4,1,0.6326530612244898,0.6326530612244898,0.0,,
no_dustbin_forced,0.1,0,3,0.4654320987654321,0.4654320987654321,0.0,0.0,
no_dustbin_forced,0.1,1,3,0.656599552572707,0.656599552572707,0.0,0.0,
no_dustbin_forced,0.1,2,3,0.564102564102564,0.564102564102564,0.0,0.0,
no_dustbin_forced,0.1,3,3,0.6058558558558559,0.6058558558558559,0.0,0.0,
no_dustbin_forced,0.1,4,3,0.6179138321995464,0.6179138321995464,0.0,0.0,
no_dustbin_forced,0.2,0,3,0.4493827160493827,0.4493827160493827,0.0,0.0,
no_dustbin_forced,0.2,1,3,0.6286353467561522,0.6286353467561522,0.0,0.0,
no_dustbin_forced,0.2,2,3,0.5551839464882943,0.5551839464882943,0.0,0.0,
no_dustbin_forced,0.2,3,3,0.588963963963964,0.588963963963964,0.0,0.0,
no_dustbin_forced,0.2,4,3,0.5975056689342404,0.5975056689342404,0.0,0.0,
no_dustbin_forced,0.3,0,3,0.43209876543209874,0.43209876543209874,0.0,0.0,
no_dustbin_forced,0.3,1,3,0.6185682326621924,0.6185682326621924,0.0,0.0,
no_dustbin_forced,0.3,2,3,0.5228539576365664,0.5228539576365664,0.0,0.0,
no_dustbin_forced,0.3,3,3,0.5664414414414415,0.5664414414414415,0.0,0.0,
