dataset,fold,seed,duration_key,duration_seconds,position,recordings,queries,top1_real,top5_real,mrr_real,hungarian_queries,hungarian_accuracy
rld,0,42,480s,480,end,19,270,0.45185185185185184,0.6185185185185185,0.5422294849844239,270,0.42962962962962964
rld,0,42,900s,900,start,19,270,0.5111111111111111,0.7185185185185186,0.6087637637788277,270,0.48518518518518516
rld,0,42,900s,900,middle,19,270,0.5370370370370371,0.7185185185185186,0.6210377078030577,270,0.5185185185185185
rld,0,42,900s,900,end,19,270,0.5444444444444444,0.7111111111111111,0.6271628080709679,270,0.5222222222222223
rld,0,42,full,,full,19,270,0.5814814814814815,0.7148148148148148,0.6530861910638435,270,0.5444444444444444
rld,1,42,15s,15,start,19,298,0.15100671140939598,0.31208053691275167,0.24669593501877798,298,0.12080536912751678
rld,1,42,15s,15,middle,19,298,0.19463087248322147,0.348993288590604,0.28015440833887495,298,0.174496644295302
rld,1,42,15s,15,end,19,298,0.19798657718120805,0.348993288590604,0.2792689973881543,298,0.17785234899328858
rld,1,42,30s,30,start,19,298,0.19463087248322147,0.35906040268456374,0.283248000534639,298,0.18120805369127516
rld,1,42,30s,30,middle,19,298,0.22818791946308725,0.37919463087248323,0.31298696748705496,298,0.24161073825503357
rld,1,42,30s,30,end,19,298,0.17785234899328858,0.3691275167785235,0.2729023209254051,298,0.15100671140939598
rld,1,42,60s,60,start,19,298,0.2080536912751678,0.36577181208053694,0.2921290601082471,298,0.18791946308724833
rld,1,42,60s,60,middle,19,298,0.22818791946308725,0.3926174496644295,0.3117354879687334,298,0.20134228187919462
rld,1,42,60s,60,end,19,298,0.2181208053691275,0.412751677852349,0.3064797334096651,298,0.19463087248322147
rld,1,42,120s,120,start,19,298,0.21140939597315436,0.3691275167785235,0.2968403505915161,298,0.174496644295302
rld,1,42,120s,120,middle,19,298,0.25838926174496646,0.4161073825503356,0.34411959202587317,298,0.21476510067114093
rld,1,42,120s,120,end,19,298,0.2550335570469799,0.4463087248322148,0.3518360153938054,298,0.19463087248322147
rld,1,42,240s,240,start,19,298,0.2516778523489933,0.4463087248322148,0.35799039344799355,298,0.22818791946308725
rld,1,42,240s,240,middle,19,298,0.3187919463087248,0.5436241610738255,0.42028074566588214,298,0.3187919463087248
rld,1,42,240s,240,end,19,298,0.31208053691275167,0.5201342281879194,0.4150700538869338,298,0.2785234899328859
rld,1,42,480s,480,start,19,298,0.4664429530201342,0.62751677852349,0.5436475856401447,298,0.40268456375838924
rld,1,42,480s,480,middle,19,298,0.5335570469798657,0.6912751677852349,0.6088522754361001,298,0.4597315436241611
rld,1,42,480s,480,end,19,298,0.48322147651006714,0.6577181208053692,0.5656270207857474,298,0.4697986577181208
rld,1,42,900s,900,start,19,298,0.6140939597315436,0.7583892617449665,0.6845359831643814,298,0.5939597315436241
rld,1,42,900s,900,middle,19,298,0.6409395973154363,0.7718120805369127,0.7071195660996129,298,0.5906040268456376
rld,1,42,900s,900,end,19,298,0.6208053691275168,0.7583892617449665,0.6886450878810849,298,0.5906040268456376
rld,1,42,full,,full,19,298,0.697986577181208,0.8288590604026845,0.7608625658862185,298,0.6812080536912751
rld,2,42,15s,15,start,19,299,0.20066889632107024,0.431438127090301,0.3142942363036146,299,0.19732441471571907
rld,2,42,15s,15,middle,19,299,0.20735785953177258,0.4280936454849498,0.313116098042148,299,0.18729096989966554
rld,2,42,15s,15,end,19,299,0.19063545150501673,0.39464882943143814,0.2935901775434319,299,0.15384615384615385
rld,2,42,30s,30,start,19,299,0.20066889632107024,0.411371237458194,0.30955236663655383,299,0.1806020066889632
rld,2,42,30s,30,middle,19,299,0.1806020066889632,0.4180602006688963,0.29832956348025047,299,0.1806020066889632
rld,2,42,30s,30,end,19,299,0.19732441471571907,0.46153846153846156,0.32401013850997096,299,0.1806020066889632
rld,2,42,60s,60,start,19,299,0.16722408026755853,0.41471571906354515,0.28423590779688124,299,0.14381270903010032
rld,2,42,60s,60,middle,19,299,0.23411371237458195,0.46153846153846156,0.34119448070936065,299,0.22408026755852842
rld,2,42,60s,60,end,19,299,0.19732441471571907,0.391304347826087,0.2966497714684628,299,0.1605351170568562
rld,2,42,120s,120,start,19,299,0.22073578595317725,0.4916387959866221,0.34245920529665713,299,0.2040133779264214
rld,2,42,120s,120,middle,19,299,0.2408026755852843,0.5050167224080268,0.3634487406698558,299,0.23745819397993312
rld,2,42,120s,120,end,19,299,0.2809364548494983,0.5518394648829431,0.40638970606602054,299,0.2809364548494983
rld,2,42,240s,240,start,19,299,0.2842809364548495,0.5384615384615384,0.40572502312744474,299,0.26755852842809363
rld,2,42,240s,240,middle,19,299,0.36454849498327757,0.6020066889632107,0.47235941776993623,299,0.34448160535117056
rld,2,42,240s,240,end,19,299,0.3511705685618729,0.6220735785953178,0.47699054240833766,299,0.34782608695652173
rld,2,42,480s,480,start,19,299,0.45819397993311034,0.6655518394648829,0.5574882908566413,299,0.4414715719063545
rld,2,42,480s,480,middle,19,299,0.4983277591973244,0.745819397993311,0.6070542320535933,299,0.47491638795986624
rld,2,42,480s,480,end,19,299,0.49498327759197325,0.7391304347826086,0.6032338751975195,299,0.4983277591973244
rld,2,42,900s,900,start,19,299,0.5585284280936454,0.7892976588628763,0.6625491462219364,299,0.5484949832775919
rld,2,42,900s,900,middle,19,299,0.6053511705685619,0.7859531772575251,0.6876431020196341,299,0.5953177257525084
rld,2,42,900s,900,end,19,299,0.5886287625418061,0.7892976588628763,0.685955480033722,299,0.568561872909699
rld,2,42,full,,full,19,299,0.6120401337792643,0.7959866220735786,0.69291209261679,299,0.5953177257525084
rld,3,42,15s,15,start,19,296,0.19594594594594594,0.3918918918918919,0.2958695844792221,296,0.1891891891891892
rld,3,42,15s,15,middle,19,296,0.13175675675675674,0.32094594594594594,0.23124684753147032,296,0.125
rld,3,42,15s,15,end,19,296,0.14527027027027026,0.34121621621621623,0.2440008781035383,296,0.12162162162162163
rld,3,42,30s,30,start,19,296,0.1891891891891892,0.39864864864864863,0.29569482169416755,296,0.16554054054054054
rld,3,42,30s,30,middle,19,296,0.17905405405405406,0.375,0.2715876277403276,296,0.14864864864864866
