identity,same_similarity,hard_similarity,stability_margin,median_margin,n_animal_pairs,support_animals,n_test_queries,mprt_top1
RIAL,0.8782394404357533,0.8605737758221064,0.017665664613647002,0.015405385393609361,600,25,75,0.9733333333333334
RIAR,0.8609163395036243,0.8448829474925239,0.01603339201110025,0.013628417420873729,210,15,45,0.8444444444444444
RIBL,0.8814607527582656,0.8643808483943592,0.01707990436390646,0.01330967030765845,240,16,48,0.8541666666666666
RIBR,0.8933675384043454,0.8676468359416274,0.025720702462717925,0.020968001843998607,20,5,15,0.4666666666666667
RICL,0.8950177532854356,0.8777533618611524,0.01726439142428321,0.01493628557828755,1056,33,99,0.6060606060606061
RICR,0.8825462178892264,0.8600573643486553,0.022488853540571035,0.01717423723876571,380,20,60,0.6
RID,0.8382901677288331,0.7894722607346558,0.04881790699417718,0.03941074312668144,992,32,96,0.9583333333333334
RIH,0.6746847243913529,0.61977903507569,0.05490568931566304,0.036866198745380524,506,23,69,0.4782608695652174
RIML,0.8338236562609591,0.8157694417835313,0.01805421447742789,0.012766350589350328,132,12,36,0.9166666666666666
RIMR,0.9281312967168149,0.8953555526583257,0.03277574405848911,0.023286566252155083,132,12,36,0.8888888888888888
RIR,0.8711180839213132,0.8554966287497896,0.015621455171523285,0.015545442811579546,20,5,15,0.4
RIS,0.8277908223229254,0.8208120556143784,0.006978766708547072,0.011061876170608442,56,8,24,0.0
RIVL,0.8741307192624739,0.8539478420959179,0.020182877166556125,0.015252161583746593,1260,36,108,0.8981481481481481
RIVR,0.892777368176084,0.8663286307462378,0.026448737429846245,0.020653591930494708,702,27,81,0.8518518518518519
RMDDL,0.8447403255466677,0.8274838608343322,0.017256464712335336,0.014848256659965909,812,29,87,0.7241379310344828
RMDDR,0.8385708996102768,0.8077303335849603,0.030840566025316464,0.023446605790092223,870,30,90,0.7666666666666667
RMDL,0.8326732735248724,0.8084331060128338,0.024240167512038557,0.02190968072033108,1056,33,99,0.898989898989899
RMDR,0.8101860560288563,0.7781282941341346,0.03205776189472154,0.027522709014855002,420,21,63,0.6666666666666666
RMDVL,0.8249817654263691,0.783438330326486,0.04154343509988295,0.03579898564940421,930,31,93,0.9247311827956988
RMDVR,0.8118564248353467,0.7379702809326654,0.07388614390268126,0.07372034168366931,992,32,96,0.8333333333333334
RMED,0.8658294045909616,0.8192238304288391,0.046605574162122416,0.046152484519862313,132,12,36,1.0
RMEL,0.8206965733739797,0.7748245598001957,0.04587201357378408,0.03995246138087266,1056,33,99,0.8888888888888888
RMER,0.8289914227868331,0.7778620879564427,0.05112933483039024,0.047952683655209605,1260,36,108,0.9537037037037036
RMEV,0.8018560181369397,0.7367865144397663,0.06506950369717344,0.060895336878221074,342,19,57,0.6491228070175439
RMFL,0.8237838909032721,0.8134812388716264,0.010302652031645656,0.009106467315216749,12,4,12,0.0
RMGL,0.8585742672443814,0.848090815985122,0.01048345125925918,0.009094870609899941,342,19,57,0.7719298245614035
SAADL,0.7234384030348101,0.7025240652016205,0.020914337833189668,0.013553077014575698,56,8,24,0.0416666666666666
SAADR,0.7418635802504031,0.7454372941915652,-0.0035737139411619588,0.0049698952450718675,90,10,30,0.0666666666666666
SAAVL,0.8713829232553457,0.8553009349848494,0.016081988270496315,0.014206002106008864,342,19,57,0.7543859649122807
SAAVR,0.8199578058919355,0.8012924700263825,0.018665335865552937,0.017703559522496692,110,11,33,0.5757575757575758
SIBDL,0.8112218729287636,0.7912990290924254,0.019922843836338133,0.019922843836338133,2,2,6,0.0
SIBDR,0.8531831110266377,0.7687220933337705,0.08446101769286718,0.08446101769286718,2,2,6,0.0
SMBDL,0.965669412431834,0.9642536730081281,0.0014157394237058751,0.0014157394237058751,2,2,6,0.0
SMBDR,0.9660544179084807,0.9507108712909744,0.015343546617506592,0.013910748956621588,20,5,15,0.0
SMBVL,0.953736452165132,0.930932897166438,0.022803554998693815,0.004462902981372252,6,3,9,0.0
SMBVR,0.7581966886813233,0.7554113737380205,0.002785314943302674,0.017843562451905604,42,7,21,0.3333333333333333
