candidate_identity,candidate_similarity,is_spatial_hard,mode,query_identity,same_minus_candidate,same_similarity
AWAR,0.19662273606127695,False,Geometry,VB02,-0.24987783820752227,-0.05325510214624533
SMDVL,0.19833590624557704,False,Geometry,VB02,-0.25159100839182236,-0.05325510214624533
AVAL,0.17893929993406782,False,Geometry,VB02,-0.23219440208031314,-0.05325510214624533
RMDL,0.1660232111954856,False,Geometry,VB02,-0.21927831334173092,-0.05325510214624533
AIBR,0.1795725291635917,False,Geometry,VB02,-0.23282763130983702,-0.05325510214624533
ASGR,0.18369675670955257,False,Geometry,VB02,-0.2369518588557979,-0.05325510214624533
AVL,0.13036425267801124,False,Geometry,VB02,-0.18361935482425656,-0.05325510214624533
AVEL,0.15863163891680207,False,Geometry,VB02,-0.2118867410630474,-0.05325510214624533
ASGL,0.16075708813004363,False,Geometry,VB02,-0.21401219027628895,-0.05325510214624533
ASHL,0.14099570428938296,False,Geometry,VB02,-0.19425080643562828,-0.05325510214624533
AIBL,0.16490881940957963,False,Geometry,VB02,-0.21816392155582495,-0.05325510214624533
AVHL,0.13915034259747808,False,Geometry,VB02,-0.1924054447437234,-0.05325510214624533
AWBL,0.127480061579685,False,Geometry,VB02,-0.18073516372593032,-0.05325510214624533
RIVL,0.14919681351586636,False,Geometry,VB02,-0.20245191566211168,-0.05325510214624533
AWCL,0.11345512036420655,False,Geometry,VB02,-0.16671022251045187,-0.05325510214624533
SMDDL,0.09104539907806847,False,Geometry,VB02,-0.1443005012243138,-0.05325510214624533
AVJR,0.13798620850837157,False,Geometry,VB02,-0.1912413106546169,-0.05325510214624533
AIZL,0.12453677570199391,False,Geometry,VB02,-0.17779187784823924,-0.05325510214624533
RIBL,0.1051828970339947,False,Geometry,VB02,-0.15843799918024,-0.05325510214624533
ASEL,0.10496408379438056,False,Geometry,VB02,-0.1582191859406259,-0.05325510214624533
AVDR,0.12561028628798812,False,Geometry,VB02,-0.17886538843423344,-0.05325510214624533
AVDL,0.10520601997709575,False,Geometry,VB02,-0.15846112212334107,-0.05325510214624533
AVJL,0.12504241072019734,False,Geometry,VB02,-0.17829751286644266,-0.05325510214624533
RIVR,0.11857041231122302,False,Geometry,VB02,-0.17182551445746835,-0.05325510214624533
AIZR,0.09709965806264671,False,Geometry,VB02,-0.15035476020889205,-0.05325510214624533
AUAR,0.03565673520353308,False,Geometry,VB02,-0.08891183734977841,-0.05325510214624533
AUAL,0.04904112257779681,False,Geometry,VB02,-0.10229622472404214,-0.05325510214624533
RICR,0.0678452388460011,False,Geometry,VB02,-0.12110034099224642,-0.05325510214624533
RICL,0.019386474184393307,False,Geometry,VB02,-0.07264157633063864,-0.05325510214624533
M5,0.015718098194747877,False,Geometry,VB02,-0.0689732003409932,-0.05325510214624533
AIML,0.9548132108039104,True,Geometry,VB02,-1.0080683129501558,-0.05325510214624533
AIMR,-0.045455875464229856,True,Geometry,VB02,-0.007799226682015471,-0.05325510214624533
FLPL,-0.033382485086515985,False,Geometry,VB02,-0.01987261705972934,-0.05325510214624533
ADEL,-0.0299920650480313,True,Geometry,VB02,-0.023263037098214027,-0.05325510214624533
ADAL,-0.035249324446746305,False,Geometry,VB02,-0.018005777699499022,-0.05325510214624533
I1R,-0.0030125801528924933,False,Geometry,ADAL,0.011333554834128862,0.00832097468123637
IL2DL,0.016718098630888592,False,Geometry,ADAL,-0.008397123949652223,0.00832097468123637
I2R,0.00010550486930856495,False,Geometry,ADAL,0.008215469811927804,0.00832097468123637
I3,0.016734101256574187,False,Geometry,ADAL,-0.008413126575337817,0.00832097468123637
NSMR,0.0032407426354909615,False,Geometry,ADAL,0.005080232045745408,0.00832097468123637
I2L,-0.00012797702271560586,False,Geometry,ADAL,0.008448951703951975,0.00832097468123637
MCL,0.0020307204651448625,False,Geometry,ADAL,0.006290254216091507,0.00832097468123637
