candidate_identity,mode,n_common_anchors,query_identity,query_record,reference_record,similarity
IL2R,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.32883040919668394
URYDL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.34047339641407076
IL1L,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3347633151515068
URBL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.32920701764560034
OLQDR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3233876348228469
OLQDL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.32529127545223224
RMER,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3180564614984499
OLQVR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.3139344977974221
URYVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.31650205945452065
RMED,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.29117342627916
RMEL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.2898694075583627
CEPVR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.27888457385148563
OLQVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.2802697819168172
CEPVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.23034784669262515
SAAVR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.21760613854603753
RID,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.21368899004874567
SMDVR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.18131778399682624
URXR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.1774451196981547
RIAR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.17863472403485414
AVAR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.17364829638879214
SAAVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.1902671437038041
CEPDR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.16470467111159595
URXL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.16907655624505746
CEPDL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.15319589987809756
SMDDR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.13123276177024842
RMEV,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.13201114128330915
RIAL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.14330085928249198
AVER,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.11741140751558296
AWAR,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.08518321395219587
SMDVL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.09942309084219388
AVAL,Geometry,82,I3,2022-08-02-01,2022-06-14-13,0.08657933867600089
