identity,same_similarity,hard_similarity,activity_relation_margin,median_margin,n_animal_pairs,support_animals,n_paired_queries,accuracy_full,accuracy_wo_activity,accuracy_gain_pp
MCL,0.5194808135106759,0.2462538788341517,0.27322693467652426,0.26407483573828994,702,27,27,0.7037037037037037,0.8148148148148148,-11.111111111111105
MCR,0.5161693159295696,0.3380125777985058,0.1781567381310639,0.14947984769211614,132,12,12,0.75,0.5833333333333334,16.666666666666664
MI,0.4414684967851598,0.09292931975381773,0.3485391770313421,0.3752962892366979,812,29,29,0.8275862068965517,0.4482758620689655,37.93103448275862
NSML,0.5349053486219162,0.2208840175162693,0.31402133110564695,0.3157830001014408,1190,35,35,0.7428571428571429,0.6857142857142857,5.714285714285716
NSMR,0.5297961382318224,0.18864089822244007,0.3411552400093823,0.3180545563410569,1122,34,34,0.8529411764705882,0.7352941176470589,11.764705882352933
OLLL,0.4246892459285213,0.22359171127852068,0.20109753465000052,0.1920609615354718,1056,33,33,0.9090909090909091,0.45454545454545453,45.45454545454545
OLLR,0.4090598248769799,0.20435728987888166,0.20470253499809826,0.20965037528659075,1056,33,33,0.8484848484848485,0.5757575757575758,27.27272727272727
OLQDL,0.479395753632393,0.2821101114414433,0.1972856421909497,0.19040749544542945,1260,36,36,0.8888888888888888,0.4444444444444444,44.44444444444444
OLQDR,0.4509088951953599,0.3071569324819449,0.14375196271341495,0.1345142109811569,1190,35,35,0.9142857142857143,0.6571428571428571,25.71428571428571
OLQVL,0.4928531736985604,0.21549682423566574,0.2773563494628947,0.2747134325762485,992,32,32,0.8125,0.4375,37.5
OLQVR,0.4372476130274548,0.1543489207837901,0.2828986922436647,0.26060682036639915,702,27,27,0.7777777777777778,0.4074074074074074,37.03703703703704
RIAL,0.04968625460905279,-0.012776302670035706,0.062462557279088476,0.05660240000143455,600,25,25,1.0,0.52,48.0
RIAR,0.06771908885980274,0.0344980793334569,0.033221009526345824,0.04867565594246079,210,15,15,0.7333333333333333,0.3333333333333333,40.0
RIBL,0.6588838015211318,-0.1139351704966387,0.7728189720177705,0.7643251269684952,240,16,16,0.875,0.4375,43.75
RIBR,0.5321174528112043,0.025041267695287733,0.5070761851159163,0.5032314616303943,20,5,5,0.4,0.2,20.0
RICL,0.3556517349770445,0.1317733883380817,0.2238783466389629,0.2078345996712332,1056,33,33,0.5757575757575758,0.48484848484848486,9.090909090909093
RICR,0.3048096656040885,0.050312587282077416,0.2544970783220111,0.2833085812688271,380,20,20,0.65,0.35,30.000000000000004
RID,0.6247633386551421,0.32115334182787203,0.30360999682727,0.2750653705513516,992,32,32,0.96875,0.4375,53.125
